"No","持ち手","技名","①②区分","種別","技名表記","動画URL"
"1","正面打ち","四方投げ","①","立ち技","正面打ち 四方投げ ①","https://x.com/samurai_kaze/status/846731135153430529"
"2","正面打ち","四方投げ","②","立ち技","正面打ち 四方投げ ②","https://x.com/samurai_kaze/status/893871845371289600"
"3","正面打ち","一ヵ条","①","立ち技","正面打ち 一ヵ条 ①","https://x.com/samurai_kaze/status/787567713224884224"
"4","正面打ち","一ヵ条","②","立ち技","正面打ち 一ヵ条 ②","https://x.com/samurai_kaze/status/797389818313351172"
"5","正面打ち","二ヵ条","①","立ち技","正面打ち 二ヵ条 ①","https://x.com/samurai_kaze/status/888979037841833984"
"6","正面打ち","二ヵ条","②","立ち技","正面打ち 二ヵ条 ②","https://x.com/samurai_kaze/status/903923166212325377"
"7","正面打ち","三ヵ条","①","立ち技","正面打ち 三ヵ条 ①","https://x.com/samurai_kaze/status/794547691711627264"
"8","正面打ち","三ヵ条","②","立ち技","正面打ち 三ヵ条 ②","https://x.com/samurai_kaze/status/790193816623915008"
"9","正面打ち","四ヵ条","①","立ち技","正面打ち 四ヵ条 ①","https://x.com/samurai_kaze/status/790195209451646977"
"10","正面打ち","四ヵ条","②","立ち技","正面打ち 四ヵ条 ②","https://x.com/samurai_kaze/status/883925707860041728"
"11","正面打ち","側面入身投げ","①","立ち技","正面打ち 側面入身投げ ①","https://x.com/samurai_kaze/status/926367864877019139"
"12","正面打ち","側面入身投げ","②","立ち技","正面打ち 側面入身投げ ②","https://x.com/samurai_kaze/status/881768504768184321"
"13","正面打ち","正面入身投げ","①","立ち技","正面打ち 正面入身投げ ①","https://x.com/samurai_kaze/status/863774603528642564"
"14","正面打ち","正面入身投げ","②","立ち技","正面打ち 正面入身投げ ②","https://x.com/samurai_kaze/status/842057417412112384"
"15","正面打ち","肘締め","①","立ち技","正面打ち 肘締め ①","https://x.com/samurai_kaze/status/883242980202565632"
"16","正面打ち","肘締め","②","立ち技","正面打ち 肘締め ②","https://x.com/samurai_kaze/status/912699893583536128"
"17","正面打ち","肘当て呼吸投げ","①","立ち技","正面打ち 肘当て呼吸投げ ①","https://x.com/samurai_kaze/status/863370896961974272"
"18","正面打ち","肘当て呼吸投げ","②","立ち技","正面打ち 肘当て呼吸投げ ②","https://x.com/samurai_kaze/status/863371926139322369"
